FFFFFF,302401,White
E8E8E8,4130380,Very Light Gray
E4E8E8,4542128,Very Light Bluish Gray
AFB5C7,4211399,Light Bluish Gray
9C9C9C,302402,Light Gray
6B5A5A,4143684,Dark Gray
595D60,4210719,Dark Bluish Gray
212121,302426,Black
6A0E15,4183901,Dark Red
6A0E15,4539114,Dark Red
B30006,302421,Red
FF8172,6258091,Coral
50372F,6194729,Dark Brown
99663E,4497021,Light Brown
82422A,4221744,Reddish Brown
B89869,4549436,Dark Tan
EED9A4,4159553,Tan
FECCB0,4496989,Light Nougat
FECCB0,6357797,Light Nougat
FFAF7D,4165933,Nougat
FFAF7D,4497056,Nougat
FFAF7D,6330584,Nougat
E3A05B,6215606,Medium Nougat
B35408,6186012,Dark Orange
FF7E14,4122463,Orange
FF7E14,4524929,Orange
FFA531,4130364,Medium Orange
FFA531,4184022,Medium Orange
FFC700,6073040,Bright Light Orange
FFBC36,4119695,Light Orange
FFDCA4,4130341,Very Light Orange
FFE001,302424,Yellow
FEE89F,4119678,Light Yellow
FFF08C,6058014,Bright Light Yellow
E7F2A7,6069255,Yellowish Green
C4E000,4122438,Lime
C4E000,4261450,Lime
C4E000,4621557,Lime
ABA953,6058245,Olive Green
2E5543,6055169,Dark Green
00923D,302428,Green
10CB31,4195191,Bright Green
10CB31,6223741,Bright Green
10CB31,6401817,Bright Green
A2BFA3,6099189,Sand Green
00A29F,6213778,Dark Turquoise
CFEFEA,6058016,Light Aqua
243757,4184108,Dark Blue
0057A6,302423,Blue
009FE0,6151664,Dark Azure
7DC1D8,302411,Maersk Blue
6ACEE0,6097493,Medium Azure
82ADD8,4179826,Medium Blue
BCD1ED,6184484,Bright Light Blue
9391E4,4130323,Medium Violet
5F2683,4224857,Dark Purple
5F2683,6231376,Dark Purple
7A238D,4133545,Purple
C689D9,4619521,Medium Lavender
D3BDE3,6015121,Lavender
D3BDE3,6099363,Lavender
B72276,6096942,Magenta
EF5BB3,4119648,Dark Pink
EF5BB3,6217797,Dark Pink
F7BCDA,4245305,Bright Pink
F7BCDA,6031883,Bright Pink
F5CDD6,302409,Pink
F5CDD6,4204805,Pink
F2D3D1,302417,Light Pink
EEEEEE,3000840,Trans-Clear
EEEEEE,6252041,Trans-Clear
939484,6030982,Trans-Black
939484,6252039,Trans-Black
9C0010,3000841,Trans-Red
9C0010,6252042,Trans-Red
FF4231,4112534,Trans-Neon Orange
E96F01,4542673,Trans-Orange
E96F01,6252040,Trans-Orange
EBF72D,3000844,Trans-Yellow
EBF72D,6252045,Trans-Yellow
C0F500,4114162,Trans-Neon Green
10Cb31,6088651,Trans-Bright Green
217625,3000848,Trans-Green
217625,4217436,Trans-Green
217625,6252046,Trans-Green
00296B,302443,Trans-Dark Blue
00296B,4247000,Trans-Dark Blue
00296B,4266417,Trans-Dark Blue
00296B,6252044,Trans-Dark Blue
68BCC5,4130372,Trans-Light Blue
68BCC5,6051920,Trans-Light Blue
68BCC5,6252043,Trans-Light Blue
5525B7,6088635,Trans-Purple
ACB7C0,4133536,Pearl Light Gray
ACB7C0,4187599,Pearl Light Gray
E79E1D,6069887,Pearl Gold
68BCC5,6347537,Satin Trans-Light Blue
C0C0C0,4528732,Metallic Silver
