Code, Color, Pieces
302401,White,4926,5100
4549436,Dark Tan,1025,973
6194729,Dark Brown,758,830
4210719,Dark Bluish Gray,635,700
302426,Black,418,500
4159553,Tan,258,250
4184108,Dark Blue,216,220
6099189,Sand Green,192,80
4221744,Reddish Brown,184,176
4211399,Light Bluish Gray,150,226
6357797,Light Nougat,118,70+120
4179826,Medium Blue,114,120
6055169,Dark Green,104,100
6215606,Medium Nougat,54,120
6058245,Olive Green,32,120
6058016,Light Aqua,24,100
6099363,Lavender,3,10
6184484,Bright Light Blue,3,10
6031883,Bright Pink,2
