Code, Color, Pieces
6357797,Light Nougat,3370
4159553,Tan,2192
4549436,Dark Tan,1315
6258091,Coral,891
6194729,Dark Brown,882
4221744,Reddish Brown,793
6215606,Medium Nougat,732
6217797,Dark Pink,506
302401,White,475
6099189,Sand Green,434
6031883,Bright Pink,358
6213778,Dark Turquoise,290
6058014,Bright Light Yellow,193
6186012,Dark Orange,192
4184108,Dark Blue,162
302428,Green,138
6058245,Olive Green,121
6055169,Dark Green,113
302426,Black,107
302423,Blue,100
6069887,Pearl Gold,100
6097493,Medium Azure,89
4179826,Medium Blue,89
4211399,Light Bluish Gray,57
4619521,Medium Lavender,49
6151664,Dark Azure,28
6096942,Magenta,21
4539114,Dark Red,10
6099363,Lavender,9
6058016,Light Aqua,4
6184484,Bright Light Blue,2
4524929,Orange,1
302421,Red,1
