Code, Color, Pieces
4211399,Light Bluish Gray,2404
4179826,Medium Blue,1378
6099189,Sand Green,1251
302428,Green,1206
6213778,Dark Turquoise,1124
4221744,Reddish Brown,1120
302423,Blue,1037
4539114,Dark Red,879
6186012,Dark Orange,666
4549436,Dark Tan,627
6058245,Olive Green,598
4619521,Medium Lavender,389
6097493,Medium Azure,267
6194729,Dark Brown,262
6096942,Magenta,188
4184108,Dark Blue,130
6215606,Medium Nougat,95
6055169,Dark Green,81
6069887,Pearl Gold,34
302426,Black,26
6058016,Light Aqua,19
6184484,Bright Light Blue,18
302421,Red,12
6031883,Bright Pink,6
4159553,Tan,4
6357797,Light Nougat,3
